IndeedJobPage,Companyname,Jobtitle,JobPostedOn,Job_location,DateReceived,Alert_Name,Jobkey,JobApplicationPage
http://indeed.com/viewjob?jk=b5a4ade0b4dc2d30,Solidus Technical Solutions,Algorithm Design and Development - Systems Analyst with Security Clearance,10:26 AM,"Grand Rapids, MI","Sun, 14 Jun 2015 08:31:46 -0500 (CDT)",19 new data analyst opportunities in Colorado,b5a4ade0b4dc2d30,http://www.indeed.com/rc/clk?jk=b5a4ade0b4dc2d30
http://indeed.com/viewjob?jk=2cbfea3c481afd91,Xerox,"Senior Sales Executive, Aerospace and Automotive, Xerox Services",9:38 AM,"Vista, CA","Sun, 14 Jun 2015 08:31:46 -0500 (CDT)",19 new data analyst opportunities in Colorado,2cbfea3c481afd91,http://www.indeed.com/rc/clk?jk=2cbfea3c481afd91
http://indeed.com/viewjob?jk=f873ff92c2c2bbdb,Strategic Staffing Solutions,1165331 SYSTEMS QA ANALYST 3,13-Jun,"New York, NY","Sun, 14 Jun 2015 08:31:46 -0500 (CDT)",19 new data analyst opportunities in Colorado,f873ff92c2c2bbdb,http://www.indeed.com/rc/clk?jk=f873ff92c2c2bbdb
http://indeed.com/viewjob?jk=ec25d8739f7a0917,Van Andel Institute,Media Relations/Public Relations Associate,13-Jun,"Santa Clara, CA","Sun, 14 Jun 2015 08:31:46 -0500 (CDT)",30+ new optimization opportunities,ec25d8739f7a0917,http://www.indeed.com/rc/clk?jk=ec25d8739f7a0917
http://indeed.com/viewjob?jk=3eea07ea1b97fbc3,Raveon Technologies,Engineering Technician,12:18 PM,United States,"Sun, 14 Jun 2015 08:31:46 -0500 (CDT)",30+ new optimization opportunities,3eea07ea1b97fbc3,http://www.indeed.com/rc/clk?jk=3eea07ea1b97fbc3
http://indeed.com/viewjob?jk=1d82ce6828b3096f,The New York Times,Audience Development Strategist Job,13-Jun,"San Diego, CA","Sun, 14 Jun 2015 08:31:46 -0500 (CDT)",30+ new optimization opportunities,1d82ce6828b3096f,http://www.indeed.com/rc/clk?jk=1d82ce6828b3096f
http://indeed.com/viewjob?jk=23241ab5a6c886c0,McAfee,Data Scientist,13-Jun,"Celebration, FL","Sun, 14 Jun 2015 08:31:46 -0500 (CDT)",30+ new optimization opportunities,23241ab5a6c886c0,http://www.indeed.com/rc/clk?jk=23241ab5a6c886c0
http://indeed.com/viewjob?jk=a99d068d5fb1107d,Accenture,Epic PMO Consultant,4:27 PM,"Cambridge, MA","Sun, 14 Jun 2015 08:31:46 -0500 (CDT)",30+ new optimization opportunities,a99d068d5fb1107d,http://www.indeed.com/rc/clk?jk=a99d068d5fb1107d
http://indeed.com/viewjob?jk=cebb632006fa9c98,"Jack in the Box, Inc.",Supply Chain,13-Jun,"Houston, TX","Sun, 14 Jun 2015 08:31:46 -0500 (CDT)",30+ new optimization opportunities,cebb632006fa9c98,http://www.indeed.com/rc/clk?jk=cebb632006fa9c98
http://indeed.com/viewjob?jk=49e3c0b9ad03254c,Walt Disney Parks &amp; Resorts Careers,Manager Advanced Analytics &amp; Optimization,13-Jun,"Dallas, TX","Sun, 14 Jun 2015 08:31:46 -0500 (CDT)",30+ new optimization opportunities,49e3c0b9ad03254c,http://www.indeed.com/rc/clk?jk=49e3c0b9ad03254c
http://indeed.com/viewjob?jk=8634c8ab004637ea,Nanobiosym,Optics Physicists/Engineers,12:17 PM,"Atlanta, GA","Sun, 14 Jun 2015 08:31:46 -0500 (CDT)",30+ new optimization opportunities,8634c8ab004637ea,http://www.indeed.com/rc/clk?jk=8634c8ab004637ea
http://indeed.com/viewjob?jk=227287c7821f34e6,Deloitte,Systems Integration - Software QA/Testing - Consulting,13-Jun,"San Francisco, CA","Sun, 14 Jun 2015 08:31:46 -0500 (CDT)",30+ new optimization opportunities,227287c7821f34e6,http://www.indeed.com/rc/clk?jk=227287c7821f34e6
http://indeed.com/viewjob?jk=8fb7a67b2a05ca54,Creative Circle,Digital Content Coordinator,13-Jun,"Atlanta, GA","Sun, 14 Jun 2015 08:31:46 -0500 (CDT)",30+ new optimization opportunities,8fb7a67b2a05ca54,http://www.indeed.com/rc/clk?jk=8fb7a67b2a05ca54
http://indeed.com/viewjob?jk=f7659efc6966a38c,Nebo Agency,Digital Analytics Specialist,13-Jun,"Santa Clara, CA","Sun, 14 Jun 2015 08:31:46 -0500 (CDT)",30+ new optimization opportunities,f7659efc6966a38c,http://www.indeed.com/rc/clk?jk=f7659efc6966a38c
http://indeed.com/viewjob?jk=c64c7100fa83e3ed,3Q Digital,SEO Account Associate,4:18 PM,"Laurel, MD","Sun, 14 Jun 2015 08:31:46 -0500 (CDT)",30+ new optimization opportunities,c64c7100fa83e3ed,http://www.indeed.com/rc/clk?jk=c64c7100fa83e3ed
http://indeed.com/viewjob?jk=8c89caf372379e85,IgnitionOne,Algorithmic Media Analyst,3:13 PM,"Los Angeles, CA","Sun, 14 Jun 2015 08:31:46 -0500 (CDT)",30+ new optimization opportunities,8c89caf372379e85,http://www.indeed.com/rc/clk?jk=8c89caf372379e85
http://indeed.com/viewjob?jk=e88ac646611358af,Citrix Systems,Staff SW Engr,5:55 PM,"Atlanta, GA","Sun, 14 Jun 2015 08:31:46 -0500 (CDT)",30+ new optimization opportunities,e88ac646611358af,http://www.indeed.com/rc/clk?jk=e88ac646611358af
http://indeed.com/viewjob?jk=366838f98c473751,The Johns Hopkins Applied Physics Laboratory,Undersea Warfare Analyst,13-Jun,"San Francisco, CA","Sun, 14 Jun 2015 08:31:46 -0500 (CDT)",30+ new optimization opportunities,366838f98c473751,http://www.indeed.com/rc/clk?jk=366838f98c473751
